Date,(RF) Risk-Free Return Rate (One Month Treasury Bill Rate),(MKT) Market Return,(MKT-Rf) Excess Return on the Market ,(SMB) Small-Minus-Big Return,(HML) High-Minus-Low Return,(RMW) Robust Minus Weak Return,(CMA) Conservative Minus Aggressive Return,(MOM) Momentum,Amihud LIQ,Adjusted_CPU_Daily,Close,Daily Log Return
1/31/2000,0.00021,0.01521,0.015,-0.0334,-0.0044,0.0075,0.0044,-0.0031,3.23E-14,3.415579544,1394.46,0.024904904
02/01/2000,0.00022,0.01312,0.0129,-0.0007,-0.0009,-0.0039,-0.0113,0.0127,1.38E-14,2.301235918,1409.28,0.010571692
02/02/2000,0.00022,0.00182,0.0016,0.0123,-0.0022,-0.0106,0.0013,0.0079,1.40E-16,2.301235918,1409.12,-0.00011354
02/03/2000,0.00022,0.01512,0.0149,0.0095,-0.0129,-0.0099,-0.0067,0.0095,1.23E-14,2.301235918,1424.97,0.011185365
02/04/2000,0.00022,-0.00028,-0.0005,0.0117,-0.0062,-0.0032,-0.0016,0.0102,5.09E-16,2.301235918,1424.37,-0.00042115
02/07/2000,0.00022,0.00372,0.0035,0.0127,-0.0119,-0.0109,-0.0012,0.0094,1.26E-16,2.301235918,1424.24,-9.13E-05
02/08/2000,0.00022,0.01252,0.0123,0.0008,-0.0174,-0.0159,-0.0081,0.0161,1.45E-14,2.301235918,1441.72,0.012198507
02/09/2000,0.00022,-0.01808,-0.0183,0.0192,-0.0041,-0.0036,0.0029,0.0028,2.55E-14,2.301235918,1411.71,-0.02103511
02/10/2000,0.00022,0.00592,0.0057,0.008,-0.0055,-0.0183,-0.0045,0.0261,4.34E-15,2.301235918,1416.83,0.003620246
02/11/2000,0.00022,-0.01718,-0.0174,0.0125,0.0093,-0.0062,0.0044,-0.0025,2.68E-14,2.301235918,1387.12,-0.021192326
2/14/2000,0.00022,0.00262,0.0024,0.0074,-0.0015,0.001,-0.0052,0.0095,2.84E-15,2.301235918,1389.94,0.002030925
2/15/2000,0.00022,0.00722,0.007,-0.0075,0.0003,-0.0006,0.0091,-0.0039,1.02E-14,2.301235918,1402.05,0.008674871
2/16/2000,0.00022,-0.00558,-0.0058,0.0194,-0.0056,-0.021,0.0075,0.0051,1.31E-14,2.301235918,1387.67,-0.01030937
2/17/2000,0.00022,0.00482,0.0046,0.0177,-0.0125,-0.0224,-0.0017,0.0108,5.33E-16,2.301235918,1388.26,0.000425083
2/18/2000,0.00022,-0.02668,-0.0269,0.0122,0.005,-0.0045,0.0034,-0.0026,3.96E-14,2.301235918,1346.09,-0.030847071
2/22/2000,0.00022,0.00132,0.0011,-0.0109,0.004,0.0048,0.0034,-0.0045,6.12E-15,2.301235918,1352.17,0.004506616
2/23/2000,0.00022,0.01262,0.0124,0.0032,-0.0145,-0.0104,-0.012,0.0226,8.36E-15,2.301235918,1360.69,0.006281215
2/24/2000,0.00022,0.00032,0.0001,0.0082,-0.0055,-0.0083,-0.0123,0.0173,5.86E-15,2.301235918,1353.43,-0.005349813
2/25/2000,0.00022,-0.01018,-0.0104,0.0183,-0.0014,-0.0087,0.0024,0.0051,1.89E-14,2.301235918,1333.36,-0.014940039
2/28/2000,0.00022,0.00782,0.0076,-0.0021,-0.0004,0.0018,0.0063,0.0032,1.43E-14,2.301235918,1348.05,0.010957032
2/29/2000,0.00022,0.01982,0.0196,0.0146,-0.0009,-0.018,0.0075,0.0189,1.48E-14,2.301235918,1366.42,0.013535077
03/01/2000,0.0002,0.0141,0.0139,0.0085,-0.0037,-0.0134,-0.0014,0.01,9.53E-15,1.524073114,1379.19,0.009302189
03/02/2000,0.0002,-0.0007,-0.0009,-0.0003,0.006,0.0087,0.0065,0.0125,2.02E-15,1.524073114,1381.76,0.001861679
03/03/2000,0.0002,0.0232,0.023,-0.0017,-0.0121,-0.0102,-0.0048,0.019,2.18E-14,1.524073114,1409.17,0.01964283
03/06/2000,0.0002,-0.0075,-0.0077,0.0157,0.0032,-0.0127,0.0049,0.0109,1.61E-14,1.524073114,1391.28,-0.012776692
03/07/2000,0.0002,-0.0218,-0.022,0.008,0.0093,-0.0062,0.0001,0.0086,2.62E-14,1.524073114,1355.62,-0.025965272
03/08/2000,0.0002,0.0071,0.0069,-0.0058,-0.008,0.003,-0.0151,-0.0051,8.91E-15,1.524073114,1366.7,0.008140161
03/09/2000,0.0002,0.0247,0.0245,-0.0073,-0.0036,0.0067,-0.0112,0.0082,2.89E-14,1.524073114,1401.69,0.025279576
03/10/2000,0.0002,-0.0041,-0.0043,0.0028,0.0012,0.0039,0.0005,0.0043,5.36E-15,1.524073114,1395.07,-0.004734058
3/13/2000,0.0002,-0.0146,-0.0148,-0.0077,0.0094,0.0156,0.0012,-0.0167,1.06E-14,1.524073114,1383.62,-0.00824134
3/14/2000,0.0002,-0.0231,-0.0233,-0.0091,0.0119,0.0235,-0.0026,-0.0224,2.16E-14,1.524073114,1359.15,-0.017843749
3/15/2000,0.0002,0.0085,0.0083,-0.0417,0.0101,0.0327,0.0138,-0.0524,2.38E-14,1.524073114,1392.14,0.023982627
3/16/2000,0.0002,0.0427,0.0425,-0.0326,0.0019,0.0085,-0.0023,-0.0239,3.88E-14,1.524073114,1458.47,0.046545809
3/17/2000,0.0002,0.0064,0.0062,0.0012,-0.0023,-0.0005,-0.0052,0.0173,3.90E-15,1.524073114,1464.47,0.004105461
3/20/2000,0.0002,-0.0169,-0.0171,-0.0256,0.0225,0.0318,0.006,-0.0134,7.20E-15,1.524073114,1456.63,-0.005367854
3/21/2000,0.0002,0.0197,0.0195,-0.0247,-0.0037,0.0025,-0.0126,-0.0075,2.85E-14,1.524073114,1493.87,0.02524452
3/22/2000,0.0002,0.0133,0.0131,0.0219,-0.0108,-0.0217,-0.0057,0.0284,5.05E-15,1.524073114,1500.64,0.004521616
3/23/2000,0.0002,0.015,0.0148,-0.0074,-0.0014,0.0103,-0.001,0.0062,1.93E-14,1.524073114,1527.35,0.017642524
3/24/2000,0.0002,0.0013,0.0011,-0.004,0.002,0.001,-0.0025,-0.0005,8.07E-17,1.524073114,1527.46,7.20E-05
3/27/2000,0.0002,-0.0037,-0.0039,0.0022,-0.0044,-0.0014,0.0031,0.0099,3.09E-15,1.524073114,1523.86,-0.002359636
3/28/2000,0.0002,-0.0132,-0.0134,-0.0102,0.0104,0.0083,-0.0007,-0.014,1.32E-14,1.524073114,1507.73,-0.010641381
3/29/2000,0.0002,-0.0098,-0.01,-0.022,0.0226,0.0274,0.0093,-0.028,5.89E-16,1.524073114,1508.52,0.000523829
3/30/2000,0.0002,-0.0174,-0.0176,-0.0137,0.0156,0.0153,0.0075,-0.0338,1.39E-14,1.524073114,1487.92,-0.013749866
3/31/2000,0.0002,0.0121,0.0119,0.0024,0.0027,-0.017,0.0018,0.0144,6.99E-15,1.524073114,1498.58,0.007138822
04/03/2000,0.00024,-0.01646,-0.0167,-0.0325,0.017,0.0451,0.0211,-0.0489,5.75E-15,2.521499157,1505.97,0.004919216
04/04/2000,0.00024,-0.01176,-0.012,-0.0185,0.0011,0.0167,0.0046,-0.0198,5.95E-15,2.521499157,1494.73,-0.00749162
04/05/2000,0.00024,0.00034,0.0001,0.016,-0.0092,-0.0115,0.0018,0.0097,5.38E-15,2.521499157,1487.37,-0.004936129
04/06/2000,0.00024,0.01494,0.0147,0.0142,-0.0039,-0.0159,0.0074,0.0209,1.11E-14,2.521499157,1501.34,0.009348583
04/07/2000,0.00024,0.01444,0.0142,0.0108,-0.0016,-0.0086,-0.013,0.0245,1.32E-14,2.521499157,1516.35,0.009948089
04/10/2000,0.00024,-0.01926,-0.0195,-0.0253,0.0168,0.0327,0.0117,-0.0332,1.10E-14,2.521499157,1504.46,-0.007872101
04/11/2000,0.00024,-0.00986,-0.0101,-0.0173,0.019,0.0207,0.0124,-0.0271,3.18E-15,2.521499157,1500.59,-0.002575666
04/12/2000,0.00024,-0.02946,-0.0297,-0.018,0.0254,0.0201,0.015,-0.0583,2.35E-14,2.521499157,1467.17,-0.022522989
4/13/2000,0.00024,-0.01776,-0.018,0.0008,0.0094,0.0029,0.0073,-0.0164,2.22E-14,2.521499157,1440.51,-0.018338158
4/14/2000,0.00024,-0.06696,-0.0672,-0.0111,0.0216,0.0293,0.0078,-0.03,6.23E-14,2.521499157,1356.56,-0.060045134
4/17/2000,0.00024,0.02964,0.0294,-0.025,-0.0166,0.0025,-0.0214,0.019,3.47E-14,2.521499157,1401.44,0.032548196
4/18/2000,0.00024,0.03864,0.0384,0.0286,-0.0243,-0.0295,-0.0094,0.0509,3.18E-14,2.521499157,1441.61,0.028260265
4/19/2000,0.00024,-0.00776,-0.008,0.0166,-0.0004,-0.0052,0.0105,0.0013,1.24E-14,2.521499157,1427.47,-0.009856898
4/20/2000,0.00024,0.00114,0.0009,-0.0092,0.0099,0.0073,0.0042,-0.007,6.92E-15,2.521499157,1434.54,0.004940594
4/24/2000,0.00024,-0.00986,-0.0101,-0.0195,0.011,0.0221,0.0128,-0.0253,4.74E-15,2.521499157,1429.86,-0.003267703
4/25/2000,0.00024,0.03764,0.0374,0.0018,-0.0089,-0.0195,-0.0118,0.0255,3.72E-14,2.521499157,1477.44,0.032734323
4/26/2000,0.00024,-0.01206,-0.0123,0.0059,0.0113,0.002,0.0059,-0.0011,1.38E-14,2.521499157,1460.99,-0.011196572
4/27/2000,0.00024,0.00784,0.0076,0.01,-0.005,-0.0169,-0.0122,0.0199,2.97E-15,2.521499157,1464.92,0.002686345
4/28/2000,0.00024,0.00094,0.0007,0.0227,0.0008,-0.0209,-0.0029,0.012,1.08E-14,2.521499157,1452.43,-0.008562618
05/01/2000,0.00023,0.01423,0.014,0.0127,-0.0104,-0.0091,-0.0042,0.0116,1.37E-14,2.87360265,1468.25,0.0108332
05/02/2000,0.00023,-0.02047,-0.0207,-0.0047,0.0167,0.0142,0.0075,-0.0161,1.85E-14,2.87360265,1446.29,-0.015069559
05/03/2000,0.00023,-0.02067,-0.0209,0.0029,-0.0037,0.0059,0.0036,-0.0093,2.80E-14,2.87360265,1415.1,-0.021801457
05/04/2000,0.00023,0.00023,0,0.0094,0.0034,-0.0112,0.003,-0.0014,5.40E-15,2.87360265,1409.57,-0.003915507
05/05/2000,0.00023,0.01503,0.0148,0.005,-0.0044,-0.0026,-0.0029,0.0093,2.53E-14,2.87360265,1432.63,0.016227223
05/08/2000,0.00023,-0.00957,-0.0098,-0.0125,0.0142,0.0099,0.0085,-0.0212,9.50E-15,2.87360265,1424.17,-0.005922728
05/09/2000,0.00023,-0.01167,-0.0119,-0.0058,0.0059,0.0153,0.0005,-0.0154,1.21E-14,2.87360265,1412.14,-0.008482904
05/10/2000,0.00023,-0.02677,-0.027,-0.008,0.0093,0.0138,0.0109,-0.0262,2.69E-14,2.87360265,1383.05,-0.020815079
05/11/2000,0.00023,0.02103,0.0208,0.0032,0.002,-0.0093,-0.01,0.0084,2.38E-14,2.87360265,1407.81,0.0177441
05/12/2000,0.00023,0.00833,0.0081,-0.0052,0.0037,0.0006,-0.0016,0.0043,1.37E-14,2.87360265,1420.96,0.009297394
5/15/2000,0.00023,0.02153,0.0213,-0.0091,-0.0072,-0.0044,-0.0037,0.0056,3.17E-14,2.87360265,1452.36,0.02185712
5/16/2000,0.00023,0.01323,0.013,0.0005,-0.0081,-0.0116,-0.0058,0.0096,1.20E-14,2.87360265,1466.04,0.009375069
5/17/2000,0.00023,-0.01357,-0.0138,0.0042,0.0076,0.0029,0.003,-0.0008,1.90E-14,2.87360265,1447.8,-0.012519725
5/18/2000,0.00023,-0.01067,-0.0109,-0.0076,0.0086,0.0095,0.0097,-0.0118,1.14E-14,2.87360265,1437.21,-0.007341429
5/19/2000,0.00023,-0.02367,-0.0239,-0.0001,0.0086,0.0079,0.0054,-0.0129,3.19E-14,2.87360265,1406.95,-0.021279493
5/22/2000,0.00023,-0.00707,-0.0073,-0.0133,0.0042,0.0061,-0.0021,-0.0093,6.56E-15,2.87360265,1400.72,-0.004437851
5/23/2000,0.00023,-0.02357,-0.0238,-0.0033,0.0131,0.0205,0.0093,-0.0196,2.92E-14,2.87360265,1373.86,-0.019362094
5/24/2000,0.00023,0.01573,0.0155,-0.0168,-0.012,0.0047,-0.0105,-0.0029,2.03E-14,2.87360265,1399.05,0.018169139
5/25/2000,0.00023,-0.01267,-0.0129,0.003,0.0048,-0.0001,-0.0007,-0.0014,1.67E-14,2.87360265,1381.52,-0.012609093
5/26/2000,0.00023,-0.00157,-0.0018,0.0011,0.0032,0.001,-0.0004,-0.0046,4.59E-15,2.87360265,1378.02,-0.002536656
5/30/2000,0.00023,0.03843,0.0382,0.0015,-0.0229,-0.023,-0.0152,0.0334,4.76E-14,2.87360265,1422.45,0.031733051
5/31/2000,0.00023,-0.00197,-0.0022,0.0019,0.0087,-0.0019,0.0059,0.0007,1.72E-15,2.87360265,1420.6,-0.001301419
06/01/2000,0.00018,0.02518,0.025,0.0037,-0.0138,-0.0202,-0.0091,0.0175,2.54E-14,3.434511917,1448.81,0.019663212
06/02/2000,0.00018,0.02928,0.0291,0.0115,-0.0222,-0.0276,-0.0166,0.0216,2.04E-14,3.434511917,1477.26,0.019446491
06/05/2000,0.00018,-0.00352,-0.0037,0.0125,-0.0079,-0.0114,0.0045,0.0102,9.57E-15,3.434511917,1467.63,-0.006540166
06/06/2000,0.00018,-0.00852,-0.0087,0.0081,0.0022,-0.0002,0.0087,0.0008,8.70E-15,3.434511917,1457.84,-0.006692967
06/07/2000,0.00018,0.01178,0.0116,0,-0.0075,-0.0054,-0.0078,0.003,1.32E-14,3.434511917,1471.36,0.009231255
06/08/2000,0.00018,-0.00582,-0.006,0.0059,0.0025,-0.0038,-0.0003,0.0128,9.52E-15,3.434511917,1461.67,-0.006607525
06/09/2000,0.00018,0.00058,0.0004,0.0171,-0.0033,-0.0134,0.0038,0.0091,5.08E-15,3.434511917,1456.95,-0.003234408
06/12/2000,0.00018,-0.01172,-0.0119,-0.0068,0.0137,0.0077,0.0085,-0.0078,1.21E-14,3.434511917,1446,-0.007544086
6/13/2000,0.00018,0.01468,0.0145,-0.0062,-0.0074,0.0035,-0.0081,0.0115,2.10E-14,3.434511917,1469.44,0.016080252
6/14/2000,0.00018,-0.00142,-0.0016,-0.0021,0.0027,0.0106,0.0002,-0.0005,9.85E-16,3.434511917,1470.54,0.000748304
6/15/2000,0.00018,0.00518,0.005,-0.0034,-0.009,-0.0026,-0.0037,0.0109,6.68E-15,3.434511917,1478.73,0.005553931
6/16/2000,0.00018,-0.00722,-0.0074,0.0101,0.0009,-0.008,-0.0001,0.021,9.53E-15,3.434511917,1464.46,-0.009697037
6/19/2000,0.00018,0.01678,0.0166,-0.0017,-0.0139,-0.0086,-0.003,0.0126,1.92E-14,3.434511917,1486,0.014601372
6/20/2000,0.00018,-0.00232,-0.0025,0.0061,-0.003,-0.0135,-0.0018,0.0061,8.02E-15,3.434511917,1475.95,-0.006786096
6/21/2000,0.00018,0.00378,0.0036,0.0046,-0.0046,-0.0077,0.0002,0.0115,2.59E-15,3.434511917,1479.13,0.002152227
6/22/2000,0.00018,-0.01862,-0.0188,0.0005,0.0056,0.011,0.0019,-0.0107,2.23E-14,3.434511917,1452.18,-0.018388201
6/23/2000,0.00018,-0.00972,-0.0099,0.0026,0.0068,0.006,0.0082,0.0046,1.09E-14,3.434511917,1441.48,-0.007395512
6/26/2000,0.00018,0.00938,0.0092,0.0107,-0.0122,0.0042,-0.0094,0.0109,1.33E-14,3.434511917,1455.31,0.009548573
6/27/2000,0.00018,-0.00532,-0.0055,-0.0036,0.0053,0.0078,-0.0017,-0.006,3.90E-15,3.434511917,1450.55,-0.003276141
6/28/2000,0.00018,0.00788,0.0077,0.0156,-0.0112,-0.0082,-0.0037,0.0062,3.32E-15,3.434511917,1454.82,0.002939387
6/29/2000,0.00018,-0.00652,-0.0067,0.0012,0.0099,0.006,0.0117,0.005,9.64E-15,3.434511917,1442.39,-0.008580722
6/30/2000,0.00018,0.00758,0.0074,0.0081,-0.0133,-0.0022,-0.0143,0.0035,7.15E-15,3.434511917,1454.6,0.008429489
07/03/2000,0.00024,0.00934,0.0091,-0.0029,0.0077,0.0001,0.0023,-0.0057,2.77E-14,2.03475511,1469.54,0.010218478
07/05/2000,0.00024,-0.01576,-0.016,0.0056,0.0167,0.0064,0.0128,-0.0168,1.95E-14,2.03475511,1446.23,-0.015989256
07/06/2000,0.00024,0.00894,0.0087,-0.0003,-0.002,-0.0048,-0.0083,0.0063,9.38E-15,2.03475511,1456.67,0.007192838
07/07/2000,0.00024,0.01484,0.0146,-0.0095,-0.0057,0.0008,-0.0044,0.011,1.98E-14,2.03475511,1478.9,0.015145559
07/10/2000,0.00024,-0.00106,-0.0013,0.004,0.0043,0.0087,0.0056,-0.0027,3.23E-15,2.03475511,1475.62,-0.002220328
07/11/2000,0.00024,0.00144,0.0012,-0.0024,0.0021,0.005,0.0102,0.0039,4.41E-15,2.03475511,1480.88,0.003558265
07/12/2000,0.00024,0.01334,0.0131,0.0027,-0.0069,-0.0143,-0.0126,0.0076,9.75E-15,2.03475511,1492.92,0.008097428
7/13/2000,0.00024,0.00534,0.0051,0,-0.0057,-0.0185,-0.014,0.0004,2.29E-15,2.03475511,1495.84,0.001953988
7/14/2000,0.00024,0.00964,0.0094,-0.006,-0.0037,-0.0059,-0.0101,-0.001,1.17E-14,2.03475511,1509.98,0.009408484
7/17/2000,0.00024,0.00124,0.001,0.0073,-0.0127,-0.0007,-0.0026,0.0096,4.44E-16,2.03475511,1510.49,0.000337696
7/18/2000,0.00024,-0.01326,-0.0135,0.0044,0.0115,0.0071,0.009,-0.0103,1.48E-14,2.03475511,1493.74,-0.011151059
7/19/2000,0.00024,-0.01166,-0.0119,-0.0013,0.0131,0.0132,0.0095,-0.0087,1.06E-14,2.03475511,1481.96,-0.007917506
7/20/2000,0.00024,0.01354,0.0133,-0.0043,-0.0072,-0.0095,-0.0085,0.0147,1.03E-14,2.03475511,1495.57,0.009141869
7/21/2000,0.00024,-0.01276,-0.013,-0.003,0.0095,0.0122,0.0097,-0.007,1.30E-14,2.03475511,1480.19,-0.010336947
7/24/2000,0.00024,-0.01416,-0.0144,-0.0021,0.0075,0.0184,0.0076,-0.0091,1.51E-14,2.03475511,1464.29,-0.010799975
7/25/2000,0.00024,0.00534,0.0051,-0.0071,0.0038,-0.0013,-0.0073,0.0011,8.72E-15,2.03475511,1474.47,0.00692812
7/26/2000,0.00024,-0.01306,-0.0133,0.0104,0.0109,0.0026,0.0032,0.0068,1.51E-14,2.03475511,1452.42,-0.015067472
7/27/2000,0.00024,-0.00876,-0.009,-0.0127,0.0264,0.0245,0.0171,-0.0121,2.07E-15,2.03475511,1449.62,-0.001929678
7/28/2000,0.00024,-0.02306,-0.0233,0.0006,0.017,0.0194,0.0159,-0.0133,2.68E-14,2.03475511,1419.89,-0.020722049
7/31/2000,0.00024,0.01054,0.0103,0.006,-0.0045,-0.0039,-0.0096,0.0055,1.01E-14,2.03475511,1430.83,0.007675292
08/01/2000,0.00022,0.00182,0.0016,-0.0092,0.0147,0.0105,0.0192,-0.0062,6.76E-15,2.397646986,1438.1,0.005068102
08/02/2000,0.00022,0.00042,0.0002,0.0009,0.0035,0.0071,0.0064,0.0002,5.25E-16,2.397646986,1438.7,0.00041713
08/03/2000,0.00022,0.01132,0.0111,-0.0128,0.001,0.0005,-0.0113,0.004,1.08E-14,2.397646986,1452.56,0.009587589
08/04/2000,0.00022,0.00912,0.0089,-0.0047,0.0032,-0.0066,-0.0001,0.0026,9.16E-15,2.397646986,1462.93,0.007113757
08/07/2000,0.00022,0.01182,0.0116,-0.0006,-0.0077,-0.0043,-0.0061,0.005,1.59E-14,2.397646986,1479.32,0.011141249
08/08/2000,0.00022,0.00122,0.001,-0.0037,0.0093,0.0038,0.0041,-0.0056,2.87E-15,2.397646986,1482.8,0.00234967
08/09/2000,0.00022,-0.00578,-0.006,0.0047,0.001,-0.0012,-0.0002,0.0006,7.79E-15,2.397646986,1472.87,-0.006719314
08/10/2000,0.00022,-0.01008,-0.0103,-0.0007,0.0097,0.0124,0.0096,-0.0109,1.13E-14,2.397646986,1460.25,-0.008605224
08/11/2000,0.00022,0.00882,0.0086,0.0026,0.0016,0.0035,0.0046,-0.0027,1.16E-14,2.397646986,1471.84,0.007905665
8/14/2000,0.00022,0.01262,0.0124,-0.0038,-0.0039,-0.0032,0,0.0061,2.05E-14,2.397646986,1491.56,0.013309233
8/15/2000,0.00022,-0.00438,-0.0046,-0.0007,0.0018,-0.0017,-0.0016,-0.0026,6.49E-15,2.397646986,1484.43,-0.004791692
8/16/2000,0.00022,-0.00158,-0.0018,0.0066,-0.0026,-0.0045,-0.0029,-0.0015,4.04E-15,2.397646986,1479.85,-0.003090129
8/17/2000,0.00022,0.01142,0.0112,-0.0061,-0.0055,-0.0077,-0.0046,0.0103,1.42E-14,2.397646986,1496.07,0.010900939
8/18/2000,0.00022,-0.00258,-0.0028,0.0012,-0.0026,-0.0037,-0.0006,0.0012,4.28E-15,2.397646986,1491.72,-0.002911853
8/21/2000,0.00022,0.00422,0.004,-0.0019,-0.0043,0.0018,-0.0012,0.0052,8.51E-15,2.397646986,1499.48,0.005188565
8/22/2000,0.00022,0.00012,-0.0001,0.0016,-0.0016,-0.0021,-0.0004,0.0016,1.32E-15,2.397646986,1498.13,-0.000900718
8/23/2000,0.00022,0.00572,0.0055,-0.0024,-0.0094,-0.0043,-0.0032,0.012,7.16E-15,2.397646986,1505.97,0.005219545
8/24/2000,0.00022,0.00362,0.0034,0.0049,-0.0089,-0.0073,0.0013,0.0086,2.21E-15,2.397646986,1508.31,0.00155261
8/25/2000,0.00022,-0.00018,-0.0004,0.006,-0.0037,-0.0022,0.0027,0.0018,2.15E-15,2.397646986,1506.45,-0.001233929
8/28/2000,0.00022,0.00512,0.0049,-0.0022,-0.0033,-0.0016,-0.0043,0.0025,8.20E-15,2.397646986,1514.09,0.005058709
8/29/2000,0.00022,-0.00008,-0.0003,0.0062,-0.0017,-0.0024,-0.0036,-0.0004,4.21E-15,2.397646986,1509.84,-0.002810913
8/30/2000,0.00022,-0.00088,-0.0011,0.0056,0.0018,-0.0103,-0.0015,0.0048,7.05E-15,2.397646986,1502.59,-0.004813399
8/31/2000,0.00022,0.01212,0.0119,0,-0.0058,-0.0046,-0.0022,0.0119,1.12E-14,2.397646986,1517.68,0.009992567
09/01/2000,0.00025,0.00405,0.0038,0.0014,-0.0036,-0.0053,-0.0013,-0.0008,3.14E-15,3.551827882,1520.77,0.002033932
09/05/2000,0.00025,-0.00945,-0.0097,0.0031,0.013,0.0036,0.0056,-0.0114,1.29E-14,3.551827882,1507.08,-0.009042782
09/06/2000,0.00025,-0.01205,-0.0123,0.0049,0.0197,0.011,0.0098,-0.0098,1.20E-14,3.551827882,1492.25,-0.009888956
09/07/2000,0.00025,0.00825,0.008,0.0036,-0.0091,-0.0009,-0.0036,0.0158,8.33E-15,3.551827882,1502.51,0.006851995
09/08/2000,0.00025,-0.00805,-0.0083,-0.004,0.012,0.0117,0.0123,-0.0053,6.70E-15,3.551827882,1494.5,-0.00534534
09/11/2000,0.00025,-0.00425,-0.0045,-0.0029,0.0153,0.0085,0.0086,-0.0036,4.72E-15,3.551827882,1489.26,-0.00351235
09/12/2000,0.00025,-0.00475,-0.005,0.0038,0.0012,0.0053,0.0071,0.0021,6.00E-15,3.551827882,1481.99,-0.004893573
9/13/2000,0.00025,0.00315,0.0029,-0.0026,-0.0028,-0.0079,-0.0033,0.0049,2.23E-15,3.551827882,1484.91,0.001968385
9/14/2000,0.00025,0.00035,0.0001,0.0087,-0.0027,-0.0107,-0.0061,0.0104,3.27E-15,3.551827882,1480.87,-0.002724411
9/15/2000,0.00025,-0.01205,-0.0123,0.0004,0.0124,-0.0012,0.0094,-0.0006,9.90E-15,3.551827882,1465.81,-0.010221762
9/18/2000,0.00025,-0.01775,-0.018,-0.0043,0.0058,0.0135,0.0054,-0.0004,1.90E-14,3.551827882,1444.51,-0.014637827
9/19/2000,0.00025,0.01265,0.0124,-0.0032,-0.0141,-0.0109,-0.0154,0.0143,1.27E-14,3.551827882,1459.9,0.010597777
9/20/2000,0.00025,-0.00365,-0.0039,0.0032,-0.0066,0.0034,-0.004,0.0116,6.61E-15,3.551827882,1451.34,-0.005880673
9/21/2000,0.00025,-0.00515,-0.0054,-0.0056,0.0093,0.0142,0.0125,-0.0042,1.77E-15,3.551827882,1449.05,-0.001579098
9/22/2000,0.00025,0.00425,0.004,-0.006,-0.0003,-0.0094,0.0098,0.0047,2.39E-16,3.551827882,1448.72,-0.000227761
